table,slot,entry_kind,target
handler:_ope0xf6,-,secondary-table,c_ope0xf6_table
handler:_ope0xf7,-,secondary-table,c_ope0xf7_table
handler:_ope0xfe,-,secondary-table,c_ope0xfe_table
handler:_ope0xff,-,secondary-table,c_ope0xff_table
handler:_repc,-,secondary-table,upd9002op_repc
handler:_repc_segprefix_cs,-,secondary-table,upd9002op_repc
handler:_repc_segprefix_ds,-,secondary-table,upd9002op_repc
handler:_repc_segprefix_es,-,secondary-table,upd9002op_repc
handler:_repc_segprefix_ss,-,secondary-table,upd9002op_repc
handler:_repe,-,secondary-table,upd9002op_repe
handler:_repe_segprefix_cs,-,secondary-table,upd9002op_repe
handler:_repe_segprefix_ds,-,secondary-table,upd9002op_repe
handler:_repe_segprefix_es,-,secondary-table,upd9002op_repe
handler:_repe_segprefix_ss,-,secondary-table,upd9002op_repe
handler:_repnc,-,secondary-table,upd9002op_repnc
handler:_repnc_segprefix_cs,-,secondary-table,upd9002op_repnc
handler:_repnc_segprefix_ds,-,secondary-table,upd9002op_repnc
handler:_repnc_segprefix_es,-,secondary-table,upd9002op_repnc
handler:_repnc_segprefix_ss,-,secondary-table,upd9002op_repnc
handler:_repne,-,secondary-table,upd9002op_repne
handler:_repne_segprefix_cs,-,secondary-table,upd9002op_repne
handler:_repne_segprefix_ds,-,secondary-table,upd9002op_repne
handler:_repne_segprefix_es,-,secondary-table,upd9002op_repne
handler:_repne_segprefix_ss,-,secondary-table,upd9002op_repne
handler:_segprefix_cs,-,secondary-table,upd9002op
handler:_segprefix_ds,-,secondary-table,upd9002op
handler:_segprefix_es,-,secondary-table,upd9002op
handler:_segprefix_ss,-,secondary-table,upd9002op
handler:_shift_ea16_1,-,secondary-table,sft_e16_table
handler:_shift_ea16_1,-,secondary-table,sft_r16_table
handler:_shift_ea16_cl,-,secondary-table,sft_e16cl_table
handler:_shift_ea16_cl,-,secondary-table,sft_r16cl_table
handler:_shift_ea16_data8,-,secondary-table,sft_e16cl_table
handler:_shift_ea16_data8,-,secondary-table,sft_r16cl_table
handler:_shift_ea8_1,-,secondary-table,sft_e8_table
handler:_shift_ea8_1,-,secondary-table,sft_r8_table
handler:_shift_ea8_cl,-,secondary-table,sft_e8cl_table
handler:_shift_ea8_cl,-,secondary-table,sft_r8cl_table
sft_e16_table,0x00,handler,_rol_e16_1
sft_e16_table,0x01,handler,_ror_e16_1
sft_e16_table,0x02,handler,_rcl_e16_1
sft_e16_table,0x03,handler,_rcr_e16_1
sft_e16_table,0x04,handler,_shl_e16_1
sft_e16_table,0x05,handler,_shr_e16_1
sft_e16_table,0x06,handler,_shl_e16_1
sft_e16_table,0x07,handler,_sar_e16_1
sft_e16cl_table,0x00,handler,_rol_e16_cl
sft_e16cl_table,0x01,handler,_ror_e16_cl
sft_e16cl_table,0x02,handler,_rcl_e16_cl
sft_e16cl_table,0x03,handler,_rcr_e16_cl
sft_e16cl_table,0x04,handler,_shl_e16_cl
sft_e16cl_table,0x05,handler,_shr_e16_cl
sft_e16cl_table,0x06,handler,_shl_e16_cl
sft_e16cl_table,0x07,handler,_sar_e16_cl
sft_e8_table,0x00,handler,_rol_e8_1
sft_e8_table,0x01,handler,_ror_e8_1
sft_e8_table,0x02,handler,_rcl_e8_1
sft_e8_table,0x03,handler,_rcr_e8_1
sft_e8_table,0x04,handler,_shl_e8_1
sft_e8_table,0x05,handler,_shr_e8_1
sft_e8_table,0x06,handler,_shl_e8_1
sft_e8_table,0x07,handler,_sar_e8_1
sft_e8cl_table,0x00,handler,_rol_e8_cl
sft_e8cl_table,0x01,handler,_ror_e8_cl
sft_e8cl_table,0x02,handler,_rcl_e8_cl
sft_e8cl_table,0x03,handler,_rcr_e8_cl
sft_e8cl_table,0x04,handler,_shl_e8_cl
sft_e8cl_table,0x05,handler,_shr_e8_cl
sft_e8cl_table,0x06,handler,_shl_e8_cl
sft_e8cl_table,0x07,handler,_sar_e8_cl
sft_r16_table,0x00,handler,_rol_r16_1
